"ID",管理コード,名前,略名,店舗名,説明,表示順序,適用開始日,適用終了日,有効フラグ,作成日時,作成者,更新日時,更新者
3042,,"ポイント利用","ポイント利用",本部,"",0,2015-12-01,2015-12-01,有効,2015-12-16 21:08:36,株式会社　東邦_user,2015-12-16 21:11:09,株式会社　東邦_user
3043,,"ポイント利用","ポイント利用","LUXAS 渋谷(ラクサス 渋谷)","",0,2015-12-01,2015-12-01,有効,2015-12-16 21:08:36,株式会社　東邦_user,2015-12-16 21:11:09,株式会社　東邦_user
3044,,"ポイント利用","ポイント利用","LUXAS+中目黒","",0,2015-12-01,2015-12-01,有効,2015-12-16 21:08:36,株式会社　東邦_user,2015-12-16 21:11:09,株式会社　東邦_user
3045,,"ポイント利用","ポイント利用","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","",0,2015-12-01,2015-12-01,有効,2015-12-16 21:08:36,株式会社　東邦_user,2015-12-16 21:11:09,株式会社　東邦_user
3046,,"ポイント利用","ポイント利用","LUXAS五反田東口（ラクサス五反田東口）","",0,2015-12-01,2015-12-01,有効,2015-12-16 21:08:36,株式会社　東邦_user,2015-12-16 21:11:09,株式会社　東邦_user
3047,,"ポイント利用","ポイント利用","LUXAS錦糸町(ラクサス錦糸町)","",0,2015-12-01,2015-12-01,有効,2015-12-16 21:08:36,株式会社　東邦_user,2015-12-16 21:11:09,株式会社　東邦_user
3048,,"ポイント利用","ポイント利用","LUXAS五反田西口（ラクサス五反田西口）","",0,2015-12-01,2015-12-01,有効,2015-12-16 21:08:36,株式会社　東邦_user,2015-12-16 21:11:09,株式会社　東邦_user
3049,,"ポイント利用","ポイント利用","LUXAS+（ラクサスプラス）横浜元町中華街","",0,2015-12-01,2015-12-01,有効,2015-12-16 21:08:36,株式会社　東邦_user,2015-12-16 21:11:09,株式会社　東邦_user
3050,,"ポイント使用","ポイント使用",本部,"",0,2015-12-02,2015-12-01,有効,2015-12-16 21:11:09,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3051,,"ポイント使用","ポイント使用","LUXAS 渋谷(ラクサス 渋谷)","",0,2015-12-02,2015-12-01,有効,2015-12-16 21:11:09,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3052,,"ポイント使用","ポイント使用","LUXAS+中目黒","",0,2015-12-02,2015-12-01,有効,2015-12-16 21:11:09,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3053,,"ポイント使用","ポイント使用","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","",0,2015-12-02,2015-12-01,有効,2015-12-16 21:11:09,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3054,,"ポイント使用","ポイント使用","LUXAS五反田東口（ラクサス五反田東口）","",0,2015-12-02,2015-12-01,有効,2015-12-16 21:11:09,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3055,,"ポイント使用","ポイント使用","LUXAS錦糸町(ラクサス錦糸町)","",0,2015-12-02,2015-12-01,有効,2015-12-16 21:11:09,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3056,,"ポイント使用","ポイント使用","LUXAS五反田西口（ラクサス五反田西口）","",0,2015-12-02,2015-12-01,有効,2015-12-16 21:11:09,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3057,,"ポイント使用","ポイント使用","LUXAS+（ラクサスプラス）横浜元町中華街","",0,2015-12-02,2015-12-01,有効,2015-12-16 21:11:09,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3058,,"ポイント使用","ポイント使用",本部,"",0,2015-12-02,,有効,2015-12-16 21:13:08,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3059,,"ポイント使用","ポイント使用","LUXAS 渋谷(ラクサス 渋谷)","",0,2015-12-02,,有効,2015-12-16 21:13:08,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3060,,"ポイント使用","ポイント使用","LUXAS+中目黒","",0,2015-12-02,,有効,2015-12-16 21:13:08,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3061,,"ポイント使用","ポイント使用","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","",0,2015-12-02,,有効,2015-12-16 21:13:08,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3062,,"ポイント使用","ポイント使用","LUXAS五反田東口（ラクサス五反田東口）","",0,2015-12-02,,無効,2015-12-16 21:13:08,株式会社　東邦_user,2015-12-27 12:48:54,株式会社　東邦_user
3063,,"ポイント使用","ポイント使用","LUXAS錦糸町(ラクサス錦糸町)","",6,2015-12-02,,有効,2015-12-16 21:13:08,株式会社　東邦_user,2019-09-22 14:22:48,株式会社　東邦_user
3064,,"ポイント使用","ポイント使用","LUXAS五反田西口（ラクサス五反田西口）","",0,2015-12-02,,有効,2015-12-16 21:13:08,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
3065,,"ポイント使用","ポイント使用","LUXAS+（ラクサスプラス）横浜元町中華街","",0,2015-12-02,,有効,2015-12-16 21:13:08,株式会社　東邦_user,2015-12-16 21:13:08,株式会社　東邦_user
6339,,"チケット販売","チケット販売",本部,"",0,2016-01-01,,有効,2016-09-22 13:18:57,株式会社　東邦_user,2016-09-22 13:18:58,株式会社　東邦_user
6340,,"チケット販売","チケット販売","LUXAS 渋谷(ラクサス 渋谷)","",0,2016-01-01,,有効,2016-09-22 13:18:57,株式会社　東邦_user,2016-09-22 13:18:57,株式会社　東邦_user
6341,,"チケット販売","チケット販売","LUXAS+中目黒","",0,2016-01-01,,有効,2016-09-22 13:18:57,株式会社　東邦_user,2016-09-22 13:18:57,株式会社　東邦_user
6342,,"チケット販売","チケット販売","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","",0,2016-01-01,,有効,2016-09-22 13:18:57,株式会社　東邦_user,2016-09-22 13:18:57,株式会社　東邦_user
6343,,"チケット販売","チケット販売","LUXAS五反田東口（ラクサス五反田東口）","",0,2016-01-01,,有効,2016-09-22 13:18:57,株式会社　東邦_user,2016-09-22 13:26:46,株式会社　東邦_user
6344,,"チケット販売","チケット販売","LUXAS錦糸町(ラクサス錦糸町)","",3,2016-01-01,,有効,2016-09-22 13:18:57,株式会社　東邦_user,2019-09-22 14:22:28,株式会社　東邦_user
6345,,"チケット販売","チケット販売","LUXAS五反田西口（ラクサス五反田西口）","",0,2016-01-01,,有効,2016-09-22 13:18:57,株式会社　東邦_user,2016-09-22 13:18:57,株式会社　東邦_user
6346,,"チケット販売","チケット販売","LUXAS+（ラクサスプラス）横浜元町中華街","",0,2016-01-01,,有効,2016-09-22 13:18:57,株式会社　東邦_user,2016-09-22 13:18:57,株式会社　東邦_user
6347,,"チケット販売","チケット販売","LUXAS 新橋","",0,2016-01-01,,有効,2016-09-22 13:18:57,株式会社　東邦_user,2016-09-22 13:18:57,株式会社　東邦_user
